date,daily cases,cumulative,z score,z = (x – μ) / σ,,Santa Ana,,1,rancho santa margarita,,,,,,,,,,,,,,,,,
01/22/2020,0,0,-0.997425775,,Mean (μ),49.9,,2,huntington beach,,,,,,,,,,,,,,,,,
03/02/2020,0,0,-0.997425775,,Standard Deviation (σ),50.1,,3,aliso viejo,,,,,,,,,,,,,,,,,
03/04/2020,0,0,-0.997425775,,Coefficient of Variation (σ/μ),1.003,,4,anahaim,,,,,,,,,,,,,,,,,
03/07/2020,0,0,-0.997425775,,,,,5,santa ana,,,,,,,,,,,,,,,,,
03/08/2020,1,1,-0.97745155,,Total COVID Cases,"10,087",,,,,,,,,,,,,,,,,,,,
03/09/2020,0,1,-0.997425775,,Population,"332,318","https://en.wikipedia.org/wiki/Santa_Ana,_California",,,,,,,,,,,,,,,,,,,
03/10/2020,0,1,-0.997425775,,Probability of a COVID case,3.04%,,,,,,,,,,,,,,,,,,,,
03/11/2020,0,1,-0.997425775,,,,,,,,,,,,,,,,,,,,,,,
03/12/2020,0,1,-0.997425775,,Highest daily cases,205,,,,,,,,,,,,,,,,,,,,
03/13/2020,0,1,-0.997425775,,,,,,,,,,,,,,,,,,,,,,,
03/14/2020,0,1,-0.997425775,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,0,1,-0.997425775,,bar plot,,,,,,,histogram,Right tailed positively skewed,,,,,,,boxplot,,,,,,
03/16/2020,1,2,-0.97745155,,,,,,,,,,,,,,,,,,,,,,,
03/17/2020,1,3,-0.97745155,,,,,,,,,,,,,,,,,,,,,,,
03/18/2020,0,3,-0.997425775,,,,,,,,,,,,,,,,,,,,,,,
03/19/2020,2,5,-0.957477325,,,,,,,,,,,,,,,,,,,,,,,
03/20/2020,2,7,-0.957477325,,,,,,,,,,,,,,,,,,,,,,,
03/21/2020,2,9,-0.957477325,,,,,,,,,,,,,,,,,,,,,,,
03/22/2020,0,9,-0.997425775,,,,,,,,,,,,,,,,,,,,,,,
03/23/2020,7,16,-0.857606201,,,,,,,,,,,,,,,,,,,,,,,
03/24/2020,8,24,-0.837631976,,,,,,,,,,,,,,,,,,,,,,,
03/25/2020,3,27,-0.9375031,,,,,,,,,,,,,,,,,,,,,,,
03/26/2020,3,30,-0.9375031,,,,,,,,,,,,,,,,,,,,,,,
03/27/2020,5,35,-0.89755465,,,,,,,,,,,,,,,,,,,,,,,
03/28/2020,5,40,-0.89755465,,,,,,,,,,,,,,,,,,,,,,,
03/29/2020,3,43,-0.9375031,,,,,,,,,,,,,,,,,,,,,,,
03/30/2020,3,46,-0.9375031,,,,,,,,,,,,,,,,,,,,,,,
03/31/2020,7,53,-0.857606201,,,,,,,,,,,,,,,,,,,,,,,
04/01/2020,8,61,-0.837631976,,,,,,,,,,,,,,,,,,,,,,,
04/02/2020,10,71,-0.797683526,,,,,,,,,,,,,,,,,,,,,,,
04/03/2020,4,75,-0.917528875,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,2,77,-0.957477325,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,4,81,-0.917528875,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,5,86,-0.89755465,,,,,,,,,,,,,,,,,,,,,,,
04/07/2020,13,99,-0.737760851,,,,,,,,,,,,,,,,,,,,,,,
04/08/2020,10,109,-0.797683526,,,,,,,,,,,,,,,,,,,,,,,
04/09/2020,11,120,-0.777709301,,,,,,,,,,,,,,,,,,,,,,,
04/10/2020,9,129,-0.817657751,,,,,,,,,,,,,,,,,,,,,,,
04/11/2020,6,135,-0.877580425,,,,,,,,,,,,,,,,,,,,,,,
04/12/2020,3,138,-0.9375031,,,,,,,,,,,,,,,,,,,,,,,
04/13/2020,4,142,-0.917528875,,,,,,,,,,,,,,,,,,,,,,,
04/14/2020,6,148,-0.877580425,,,,,,,,,,,,,,,,,,,,,,,
04/15/2020,7,155,-0.857606201,,,,,,,,,,,,,,,,,,,,,,,
04/16/2020,6,161,-0.877580425,,,,,,,,,,,,,,,,,,,,,,,
04/17/2020,13,174,-0.737760851,,,,,,,,,,,,,,,,,,,,,,,
04/18/2020,12,186,-0.757735076,,,,,,,,,,,,,,,,,,,,,,,
04/19/2020,10,196,-0.797683526,,,,,,,,,,,,,,,,,,,,,,,
04/20/2020,10,206,-0.797683526,,,,,,,,,,,,,,,,,,,,,,,
04/21/2020,12,218,-0.757735076,,,,,,,,,,,,,,,,,,,,,,,
04/22/2020,19,237,-0.617915502,,,,,,,,,,,,,,,,,,,,,,,
04/23/2020,15,252,-0.697812401,,,,,,,,,,,,,,,,,,,,,,,
04/24/2020,14,266,-0.717786626,,,,,,,,,,,,,,,,,,,,,,,
04/25/2020,15,281,-0.697812401,,,,,,,,,,,,,,,,,,,,,,,
04/26/2020,7,288,-0.857606201,,,,,,,,,,,,,,,,,,,,,,,
04/27/2020,20,308,-0.597941277,,,,,,,,,,,,,,,,,,,,,,,
04/28/2020,27,335,-0.458121703,,,,,,,,,,,,,,,,,,,,,,,
04/29/2020,21,356,-0.577967052,,,,,,,,,,,,,,,,,,,,,,,
